Image_Array,Label
[0.09411765 0.09411765 0.09411765 ... 0.42745098 0.42745098 0.42745098],0
[0.05490196 0.05490196 0.05490196 ... 0.         0.         0.        ],0
[0.         0.         0.         ... 0.01568628 0.01568628 0.01568628],0
[0.15686275 0.15686275 0.15686275 ... 0.04313726 0.04313726 0.04313726],0
[0.3019608 0.3019608 0.3019608 ... 0.        0.        0.       ],0
[0.49019608 0.49019608 0.49019608 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.02745098 0.02745098 0.02745098 ... 0.         0.         0.        ],0
[0.09019608 0.09019608 0.09019608 ... 0.         0.         0.        ],0
[0.23529412 0.23529412 0.23529412 ... 0.         0.         0.        ],0
[0.4392157 0.4392157 0.4392157 ... 0.        0.        0.       ],0
[0.03529412 0.03529412 0.03529412 ... 0.         0.         0.        ],0
[0.5254902 0.5254902 0.5254902 ... 0.        0.        0.       ],0
[0.1764706 0.1764706 0.1764706 ... 0.        0.        0.       ],0
[0.         0.         0.         ... 0.00392157 0.00392157 0.00392157],0
[0.3764706 0.3764706 0.3764706 ... 0.        0.        0.       ],0
[0.39215687 0.39215687 0.39215687 ... 0.00392157 0.00392157 0.00392157],0
[0.9411765 0.9411765 0.9411765 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.32156864 0.32156864 0.32156864 ... 0.09019608 0.09019608 0.09019608],0
[0.26666668 0.26666668 0.26666668 ... 0.         0.         0.        ],0
[0.23921569 0.23921569 0.23921569 ... 0.2627451  0.2627451  0.2627451 ],0
[0.09411765 0.09411765 0.09411765 ... 0.         0.         0.        ],0
[0.27450982 0.27450982 0.27450982 ... 0.04313726 0.04313726 0.04313726],0
[0.17254902 0.17254902 0.17254902 ... 0.         0.         0.        ],0
[0.30980393 0.30980393 0.30980393 ... 0.05490196 0.05490196 0.05490196],0
[0. 0. 0. ... 0. 0. 0.],0
[0.29411766 0.29411766 0.29411766 ... 0.         0.         0.        ],0
[0.3137255 0.3137255 0.3137255 ... 0.        0.        0.       ],0
[0.36078432 0.36078432 0.36078432 ... 0.         0.         0.        ],0
[0.40784314 0.40784314 0.40784314 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.43137255 0.43137255 0.43137255 ... 0.         0.         0.        ],0
[0.6313726 0.6313726 0.6313726 ... 0.        0.        0.       ],0
[0.3529412 0.3529412 0.3529412 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.3647059 0.3647059 0.3647059 ... 0.        0.        0.       ],0
[0.12156863 0.12156863 0.12156863 ... 0.         0.         0.        ],0
[0.2509804 0.2509804 0.2509804 ... 0.        0.        0.       ],0
[0.         0.         0.         ... 0.00392157 0.00392157 0.00392157],0
[0.38039216 0.38039216 0.38039216 ... 0.         0.         0.        ],0
[0.25490198 0.25490198 0.25490198 ... 0.         0.         0.        ],0
[0.19607843 0.19607843 0.19607843 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.5764706  0.5764706  0.5764706  ... 0.03921569 0.03921569 0.03921569],0
[0.43137255 0.43137255 0.43137255 ... 0.01176471 0.01176471 0.01176471],0
[0. 0. 0. ... 0. 0. 0.],0
[0.09411765 0.09411765 0.09411765 ... 0.61960787 0.61960787 0.61960787],0
[0.25882354 0.25882354 0.25882354 ... 0.         0.         0.        ],0
[0.4 0.4 0.4 ... 0.  0.  0. ],0
[0.00784314 0.00784314 0.00784314 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.12941177 0.12941177 0.12941177 ... 0.05490196 0.05490196 0.05490196],0
[0.0627451  0.0627451  0.0627451  ... 0.03137255 0.03137255 0.03137255],0
[0.42745098 0.42745098 0.42745098 ... 0.         0.         0.        ],0
[0.21960784 0.21960784 0.21960784 ... 0.         0.         0.        ],0
[0.14901961 0.14901961 0.14901961 ... 0.0627451  0.0627451  0.0627451 ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.8352941  0.8352941  0.8352941  ... 0.01568628 0.01568628 0.01568628],0
[0.10196079 0.10196079 0.10196079 ... 0.01568628 0.01568628 0.01568628],0
[0.14901961 0.14901961 0.14901961 ... 0.08627451 0.08627451 0.08627451],0
[0. 0. 0. ... 0. 0. 0.],0
[0.2784314 0.2784314 0.2784314 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.35686275 0.35686275 0.35686275 ... 0.03137255 0.03137255 0.03137255],0
[0. 0. 0. ... 0. 0. 0.],0
[0.22745098 0.22745098 0.22745098 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.06666667 0.06666667 0.06666667 ... 0.05098039 0.05098039 0.05098039],0
[0. 0. 0. ... 0. 0. 0.],0
[0.01176471 0.01176471 0.01176471 ... 0.         0.         0.        ],0
[0.21568628 0.21568628 0.21568628 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.21176471 0.21176471 0.21176471 ... 0.01960784 0.01960784 0.01960784],0
[0.08627451 0.08627451 0.08627451 ... 0.         0.         0.        ],0
[0.30980393 0.30980393 0.30980393 ... 0.03921569 0.03921569 0.03921569],0
[0.05098039 0.05098039 0.05098039 ... 0.08627451 0.08627451 0.08627451],0
[0.01568628 0.01568628 0.01568628 ... 0.         0.         0.        ],0
[0.13725491 0.13725491 0.13725491 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.28627452 0.28627452 0.28627452 ... 0.07843138 0.07843138 0.07843138],0
[0. 0. 0. ... 0. 0. 0.],0
[0.3254902 0.3254902 0.3254902 ... 0.        0.        0.       ],0
[0.         0.         0.         ... 0.00784314 0.00784314 0.00784314],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.24705882 0.24705882 0.24705882 ... 0.03137255 0.03137255 0.03137255],0
[0.2627451  0.2627451  0.2627451  ... 0.01176471 0.01176471 0.01176471],0
[0.3529412 0.3529412 0.3529412 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.21960784 0.21960784 0.21960784 ... 0.05098039 0.05098039 0.05098039],0
[0.41568628 0.41568628 0.41568628 ... 0.14901961 0.14901961 0.14901961],0
[0.16862746 0.16862746 0.16862746 ... 0.         0.         0.        ],0
[0.1254902 0.1254902 0.1254902 ... 0.        0.        0.       ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.34509805 0.34509805 0.34509805 ... 0.03137255 0.03137255 0.03137255],0
[0.05490196 0.05490196 0.05490196 ... 0.05098039 0.05098039 0.05098039],0
[0.25490198 0.25490198 0.25490198 ... 0.         0.         0.        ],0
[0.29411766 0.29411766 0.29411766 ... 0.07058824 0.07058824 0.07058824],0
[0.04705882 0.04705882 0.04705882 ... 0.01960784 0.01960784 0.01960784],0
[0. 0. 0. ... 0. 0. 0.],0
[0.         0.         0.         ... 0.00392157 0.00392157 0.00392157],0
[0.53333336 0.53333336 0.53333336 ... 0.         0.         0.        ],0
[0.22352941 0.22352941 0.22352941 ... 0.12156863 0.12156863 0.12156863],0
[0.19607843 0.19607843 0.19607843 ... 0.         0.         0.        ],0
[0.34901962 0.34901962 0.34901962 ... 0.08235294 0.08235294 0.08235294],0
[0.3647059  0.3647059  0.3647059  ... 0.09019608 0.09019608 0.09019608],0
[0.27450982 0.27450982 0.27450982 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0. 0. 0. ... 0. 0. 0.],0
[0.20784314 0.20784314 0.20784314 ... 0.0627451  0.0627451  0.0627451 ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.13725491 0.13725491 0.13725491 ... 0.04313726 0.04313726 0.04313726],0
[0. 0. 0. ... 0. 0. 0.],0
[0.12156863 0.12156863 0.12156863 ... 0.09803922 0.09803922 0.09803922],0
[0.1764706 0.1764706 0.1764706 ... 0.        0.        0.       ],0
[0.40784314 0.40784314 0.40784314 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.18039216 0.18039216 0.18039216 ... 0.         0.         0.        ],0
[0.4117647  0.4117647  0.4117647  ... 0.01176471 0.01176471 0.01176471],0
[0.16862746 0.16862746 0.16862746 ... 0.         0.         0.        ],0
[0.16078432 0.16078432 0.16078432 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.03921569 0.03921569 0.03921569 ... 0.         0.         0.        ],0
[0.2509804  0.2509804  0.2509804  ... 0.08627451 0.08627451 0.08627451],0
[0.48235294 0.48235294 0.48235294 ... 0.01568628 0.01568628 0.01568628],0
[0.30588236 0.30588236 0.30588236 ... 0.         0.         0.        ],0
[0.06666667 0.06666667 0.06666667 ... 0.         0.         0.        ],0
[0.07843138 0.07843138 0.07843138 ... 0.         0.         0.        ],0
[0. 0. 0. ... 0. 0. 0.],0
[0.20784314 0.20784314 0.20784314 ... 0.         0.         0.        ],0
[0.07058824 0.07058824 0.07058824 ... 0.         0.         0.        ],0
[0.21960784 0.21960784 0.21960784 ... 0.         0.         0.        ],0
[0.3372549 0.3372549 0.3372549 ... 0.        0.        0.       ],0
[0.2509804 0.2509804 0.2509804 ... 0.        0.        0.       ],0
[0.08627451 0.08627451 0.08627451 ... 0.12941177 0.12941177 0.12941177],0
[0.22745098 0.22745098 0.22745098 ... 0.         0.         0.        ],0
[0.21960784 0.21960784 0.21960784 ... 0.         0.         0.        ],0
[0.30588236 0.30588236 0.30588236 ... 0.         0.         0.        ],0
[0.15686275 0.15686275 0.15686275 ... 0.00784314 0.00784314 0.00784314],0
[0. 0. 0. ... 0. 0. 0.],0
[0.30588236 0.30588236 0.30588236 ... 0.         0.         0.        ],0
[0.3254902 0.3254902 0.3254902 ... 0.        0.        0.       ],0
[0.5411765 0.5411765 0.5411765 ... 0.0627451 0.0627451 0.0627451],0
[0.01568628 0.01568628 0.01568628 ... 0.         0.         0.        ],0
[0.27450982 0.27450982 0.27450982 ... 0.         0.         0.        ],0
[0.23921569 0.23921569 0.23921569 ... 0.08235294 0.08235294 0.08235294],0
